工作岗位,公司名称,公司规模,公司行业,融资阶段,公司福利,工资阶段,工作经验,学历要求,工作地点
数据分析师（风控方向）(T0126),拼多多,2000人以上,"电商,移动互联网",上市公司,"股票期权,专项奖金,弹性工作,扁平管理",20k-40k,1-3年,本科,上海
数据分析师,联元智能科技,50-150人,"移动互联网,数据服务",A轮,"绩效奖金,带薪年假,补充公积金,年底双薪",15k-30k,3-5年,本科,上海
大数据开发工程师,中移互联网,500-2000人,移动互联网,不需要融资,,15k-25k,3-5年,本科,广州
大数据开发工程师,海万科技,500-2000人,"移动互联网,金融",不需要融资,,10k-20k,3-5年,大专,上海
大数据开发工程师,驰骛科技ChiefClouds,50-150人,"数据服务,移动互联网",A轮,,15k-30k,不限,本科,上海
数据分析师,飞常准,500-2000人,移动互联网,不需要融资,"节日礼物,年度旅游,管理规范,五险一金",6k-12k,1-3年,本科,合肥
数据分析师,还呗-智能信贷领先者,500-2000人,金融,B轮,"股票期权,通讯津贴,交通补助,午餐补助",15k-25k,3-5年,本科,上海
数据分析师,辰木互动,50-150人,电商、广告营销,不需要融资,,3k-4k,应届毕业生,本科,成都
数据分析师,辰木互动,50-150人,电商、广告营销,不需要融资,,3k-4k,应届毕业生,本科,成都
大数据开发工程师,翡翠东方TVBC,150-500人,文娱丨内容,不需要融资,"午餐补助,交通补助,通讯津贴,定期体检",18k-25k,5-10年,本科,广州
数据分析师,阿卡索外教网,2000人以上,"教育,移动互联网",C轮,"带薪年假,弹性工作,美女多,领导好",15k-30k,应届毕业生,大专,深圳
数据分析师,盈米财富,50-150人,"移动互联网,金融",B轮,"技能培训,股票期权,午餐补助,绩效奖金",10k-20k,不限,本科,广州
数据分析师,荣乾兴茂,50-150人,"金融,数据服务",未融资,,10k-15k,应届毕业生,本科,北京
大数据开发工程师,小米,2000人以上,硬件,D轮及以上,"快速成长,免费班车,扁平管理,技能培训",20k-40k,3-5年,本科,北京
金融数据分析师(J10066),鲸准,150-500人,"数据服务,企业服务",D轮及以上,"年底双薪,专项奖金,带薪年假,定期体检",8k-15k,不限,本科,北京
大数据开发工程师,中移互联网,500-2000人,移动互联网,不需要融资,,15k-25k,3-5年,本科,广州
资深数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-40k,3-5年,本科,北京
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",12k-20k,3-5年,本科,北京
数据分析师（股票方向）,通联数据,500-2000人,金融,不需要融资,"五险一金,通讯津贴,带薪年假,节日礼物",7k-14k,3-5年,本科,南京
大数据开发工程师,申朴信息,150-500人,金融,未融资,"节日礼物,技能培训,免费班车,带薪年假",14k-18k,3-5年,本科,深圳
大数据开发工程师,海万科技,500-2000人,"移动互联网,金融",不需要融资,,10k-20k,3-5年,大专,上海
大数据开发工程师,弘康人寿,150-500人,金融,不需要融资,"年底双薪,节日礼物,技能培训,绩效奖金",12k-20k,1-3年,本科,北京
大数据开发工程师,西瓜创客,150-500人,教育,B轮,"牛人多,快速发展",15k-30k,5-10年,不限,成都
数据分析师,FunPlus 趣加游戏,500-2000人,游戏,B轮,"绩效奖金,股票期权,专项奖金,五险一金",20k-40k,3-5年,本科,北京
大数据开发工程师,小米,2000人以上,硬件,D轮及以上,"快速成长,免费班车,扁平管理,技能培训",16k-32k,不限,本科,武汉
HAK-高级数据分析师,顺丰科技有限公司,2000人以上,"软件开发,数据服务",不需要融资,"技能培训,节日礼物,带薪年假,岗位晋升",21k-26k,3-5年,本科,深圳
大数据开发工程师,中沃名霆,50-150人,数据服务、软件开发,未融资,,20k-35k,不限,本科,深圳
大数据开发工程师,云天励飞,500-2000人,人工智能,B轮,"节日礼物,带薪年假,年度旅游,开放务实",20k-30k,3-5年,本科,深圳
大数据开发工程师,音娱时光,50-150人,移动互联网,A轮,"年底双薪,绩效奖金,带薪年假,免费健身",20k-35k,3-5年,本科,北京
大数据开发工程师,易宝软件科技（南京）有限公司,150-500人,移动互联网,上市公司,,15k-20k,3-5年,大专,上海
大数据开发工程师,明源云,2000人以上,电商,上市公司,"高额六险一金,年底双薪,绩效奖金,N项经费",15k-25k,3-5年,本科,深圳
大数据开发工程师,微脉,150-500人,"移动互联网,医疗丨健康",B轮,"股票期权,带薪年假,岗位晋升,年底三薪",25k-45k,5-10年,本科,杭州
游戏数据分析师,动能无线,50-150人,"移动互联网,广告营销",未融资,"年底双薪,午餐补助,带薪年假,绩效奖金",8k-16k,1-3年,本科,深圳
大数据开发工程师,申朴信息,150-500人,金融,未融资,"节日礼物,技能培训,免费班车,带薪年假",14k-18k,3-5年,本科,深圳
数据分析师Leader,深圳市丰巢科技有限公司,500-2000人,消费生活,A轮,"五险一金,通讯津贴,交通补助,带薪年假",20k-40k,3-5年,本科,深圳
大数据开发工程师,贝壳,2000人以上,房产家居,D轮及以上,"股票期权,带薪年假,绩效奖金,扁平管理",30k-50k,5-10年,硕士,北京
大数据开发工程师,驿氪科技EZR,150-500人,"移动互联网,消费生活",B轮,"腾讯投资,微软合作伙伴,云科技50强,小程序服务商",18k-28k,5-10年,本科,上海
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-40k,3-5年,本科,北京
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",20k-40k,3-5年,本科,北京
数据分析师,字节跳动,2000人以上,文娱丨内容,C轮,"扁平管理,弹性工作,大厨定制三餐,就近租房补贴",25k-50k,不限,本科,成都
大数据开发工程师,海万科技,500-2000人,"移动互联网,金融",不需要融资,,12k-20k,3-5年,本科,上海
商业分析中心-数据分析师,搜狗,2000人以上,工具,上市公司,"岗位晋升,扁平管理,管理规范,精英团队",20k-40k,3-5年,本科,北京
战略合作部-数据分析师,搜狗,2000人以上,工具,上市公司,"岗位晋升,扁平管理,管理规范,精英团队",8k-16k,1-3年,本科,北京
解决方案顾问/数据分析师,观远数据,150-500人,"企业服务,数据服务",B轮,"绩效奖金,带薪年假,弹性工作,扁平管理",10k-20k,1-3年,本科,杭州
解决方案顾问/数据分析师,观远数据,150-500人,"企业服务,数据服务",B轮,"绩效奖金,带薪年假,弹性工作,扁平管理",10k-20k,3-5年,本科,北京
大数据开发工程师,驿氪科技EZR,150-500人,"移动互联网,消费生活",B轮,"腾讯投资,微软合作伙伴,云科技50强,小程序服务商",18k-28k,5-10年,本科,上海
数据分析师（数据产品） (MJ004333),作业帮,2000人以上,工具,D轮及以上,"免费三餐,技术氛围浓厚,定期体检,新鲜水果",20k-40k,1-3年,本科,北京
大数据开发工程师,贝壳,2000人以上,房产家居,D轮及以上,"股票期权,带薪年假,绩效奖金,扁平管理",30k-50k,5-10年,硕士,北京
大数据开发工程师,恒天软件,2000人以上,软件开发,不需要融资,"技能培训,年底双薪,节日礼物,绩效奖金",8k-15k,3-5年,本科,合肥
数据分析师（金融行业）,DeepTech深科技,15-50人,其他,A轮,,10k-20k,1-3年,本科,北京
产品数据分析师,广州市搜游网络科技,15-50人,移动互联网,A轮,,15k-30k,3-5年,大专,广州
大数据开发工程师,路行通,500-2000人,"移动互联网,消费生活",不需要融资,"年度旅游,岗位晋升,五险一金,弹性工作",15k-30k,3-5年,本科,成都
数据分析师,思码逸Merico,15-50人,"企业服务,人工智能",A轮,"股票期权,绩效奖金,带薪年假,定期体检",25k-40k,5-10年,本科,北京
大数据开发工程师(J11109),朗新科技,2000人以上,"移动互联网,企业服务",上市公司,"技能培训,年底双薪,带薪年假,岗位晋升",7k-10k,应届毕业生,本科,无锡
大数据开发工程师(J11109),朗新科技,2000人以上,"移动互联网,企业服务",上市公司,"技能培训,年底双薪,带薪年假,岗位晋升",8k-12k,应届毕业生,本科,北京
数据分析师,数神科技,150-500人,"移动互联网,数据服务",未融资,"弹性工作,技能培训,岗位晋升,五险一金",13k-23k,3-5年,不限,深圳
兼职数据分析师,华壹信融,150-500人,金融,未融资,,8k-16k,不限,大专,北京
数据分析师,掌门1对1在线教育,2000人以上,"移动互联网,教育",D轮及以上,"技能培训,节日礼物,绩效奖金,岗位晋升",10k-20k,1-3年,本科,上海
数据分析专家,跟谁学,2000人以上,"移动互联网,教育",上市公司,"节日礼物,技能培训,股票期权,精英团队",30k-50k,5-10年,本科,武汉
