downloadCount,displayName,gameId,gameType,introduction,publisherName,developer_name,shortDesc,current,change,score,cnt,bcnt,gameTag
4683721,黑洞大作战,62251733,1,红遍全球的魔性3D吞噬生存冒险类手机游戏, 深圳梦域网络科技有限公司 ,,红遍全球的魔性3D吞噬生存冒险类手机游戏,45,4,8.6,154,166,"io,收集,PVP,魔性,2.5D,简约"
2017842,凯旋之门,62270339,1,共同征战丧尸爆发的末世界,海南奇趣网络科技有限公司,海南奇趣网络科技有限公司,共同征战丧尸爆发的末世界,46,5,8.5,335,363,"MMORPG,卡牌,闯关,2D,欧美,末日,角色扮演"
42671499,皇室战争,62231039,1,三分钟解决战斗,GameArk,,三分钟解决战斗,47,-11,8.1,5084,5879,"对攻塔防,卡牌,即时战略,PVP,竖屏,2.5D,卡通,战争,塔防迷宫"
32326459,火影忍者,62231547,1,喜欢鸣人的跟上来,深圳市腾讯计算机系统有限公司,腾讯移动游戏,喜欢鸣人的跟上来,48,30,8.4,6511,7480,"格斗,卡牌,PVP,2D,和风,动漫,火影,正版授权,动作冒险"
73841537,第五人格,62233661,1,全新赛季开启 欧皇的献礼活动上线,杭州网易雷火科技有限公司,网易游戏,全新赛季开启 欧皇的献礼活动上线,49,-4,8.8,25333,31083,"非对称竞技,潜行,PVP,剧情,3D,哥特,恐怖,电子竞技"
75495893,钢琴块2,62231896,1,叫上你的好友，挑战手速极限,北京猎豹网络科技有限公司,猎豹移动,叫上你的好友，挑战手速极限,50,2,8.7,1752,1849,"乐器,闯关,手速,2D,简约,音乐节奏"
379095,点点冰淇淋屋,62270861,1,梦幻模拟制作，让自己变成烘焙大师,深圳市统掌科技有限公司,统掌科技,梦幻模拟制作，让自己变成烘焙大师,51,13,,8,11,"创意,收集,竖屏,2D,卡通,美食"
10157607,火柴人向前冲,62291310,1,一款全新的动作闯关游戏,小米游戏,小米游戏,一款全新的动作闯关游戏,52,6,7.6,20,20,"格斗,火柴人,魔性,2D,线条,动作冒险"
5755869,新斗罗大陆,62249403,1,正版授权手游,上海玄霆娱乐信息科技有限公司,阅文游戏,正版授权手游,53,-3,7.8,1589,1850,"MMORPG,卡牌,闯关,跨服,2D,卡通,玄幻,影视-小说,角色扮演"
15699981,全民来养猪,62291343,1,动动手指，轻松养猪提现,休闲工作室,,动动手指，轻松养猪提现,54,0,2.5,117,130,"网赚,农场经营,模拟经营,放置挂机,合并,红包,2D,卡通"
53039373,部落冲突,62231040,1,月度挑战，精彩玩不断,北京昆仑乐享网络技术有限公司,GameArk,月度挑战，精彩玩不断,55,-8,8.8,6169,7028,"SLG,即时战略,战争策略,城镇建设,卡牌,PVP,2.5D,卡通,战争"
